"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3369","TC2 - Product UI visible","chromium","2026-07-14","passed","2026-07-14","React Shopping Cart E2E","Productlist.spec.ts","",""
"","2795","TC7 - Cart increases after add","chromium","2026-07-14","passed","2026-07-14","React Shopping Cart E2E","Productlist.spec.ts","",""
"","1839","TC8 - Product has UI elements","chromium","2026-07-14","passed","2026-07-14","React Shopping Cart E2E","Productlist.spec.ts","",""
"","1924","TC9 - Free shipping visible","chromium","2026-07-14","passed","2026-07-14","React Shopping Cart E2E","Productlist.spec.ts","",""
"","4856","TC4 - Add 2 products","chromium","2026-07-14","passed","2026-07-14","React Shopping Cart E2E","Productlist.spec.ts","",""
"","4257","TC5 - Filter by size M","chromium","2026-07-14","passed","2026-07-14","React Shopping Cart E2E","Productlist.spec.ts","",""
"","1894","TC10 - Cart starts empty","chromium","2026-07-14","passed","2026-07-14","React Shopping Cart E2E","Productlist.spec.ts","",""
"","4188","TC6 - Filter by size L","chromium","2026-07-14","passed","2026-07-14","React Shopping Cart E2E","Productlist.spec.ts","",""
"","3408","TC1 - Load products","chromium","2026-07-14","passed","2026-07-14","React Shopping Cart E2E","Productlist.spec.ts","",""
"","4074","TC3 - Add product to cart","chromium","2026-07-14","passed","2026-07-14","React Shopping Cart E2E","Productlist.spec.ts","",""
